broker_name,channel_type,performance_tier,business_segment,risk_level,sales_units,cancel_units,net_units,total_transactions,net_value,sales_value,cancel_value,cancel_rate_pct,sales_rate_pct,conversion_rate,avg_ticket_size,avg_sales_ticket,avg_cancel_ticket,revenue_per_transaction,share_of_total_value_pct,share_of_total_units_pct,share_of_sales_value_pct,revenue_rank,volume_rank,efficiency_rank,revenue_score,volume_score,quality_score,overall_performance_score,efficiency_vs_market,growth_potential
Broker 46,Broker,Basic,Emerging Partner,Excellent,20,1,19,21,3156605552.34,3052187370.84,-104418181.5,5.0,95.24,95.24,166137134.33,152609368.54,-104418181.5,150314550.11,0.65,0.72,0.68,20,13,271,1.5,1.5,29.6,32.6,-10.2,Medium
Broker 123,Broker,Basic,Emerging Partner,High Risk,15,12,3,27,3045544211.51,1642996236.66,-1402547974.85,80.0,55.56,55.56,1015181403.84,109533082.44,-116878997.9,112797933.76,0.62,0.11,0.37,21,29,4,1.4,0.2,24.0,25.6,448.5,Medium
Broker 272,Broker,Basic,Emerging Partner,Excellent,7,0,7,7,2917776678.6,2917776678.6,0.0,0.0,100.0,100.0,416825239.8,416825239.8,0.0,416825239.8,0.6,0.27,0.65,22,25,28,1.4,0.6,30.0,32.0,125.2,High
Broker 140,Broker,Basic,Emerging Partner,Low Risk,7,1,6,8,2713519189.26,2659076530.15,-54442659.11,14.29,87.5,87.5,452253198.21,379868075.74,-54442659.11,339189898.66,0.56,0.23,0.59,23,26,21,1.3,0.5,28.9,30.7,144.3,High
Broker 104,Broker,Basic,Emerging Partner,Excellent,39,0,39,39,2665706510.68,2665706510.68,0.0,0.0,100.0,100.0,68351448.99,68351448.99,0.0,68351448.99,0.55,1.48,0.6,24,6,473,1.2,3.1,30.0,34.3,-63.1,Medium
Broker 37,Broker,Basic,Emerging Partner,Medium Risk,21,5,16,26,2511869896.47,1996926200.54,-514943695.93,23.81,80.77,80.77,156991868.53,95091723.84,-102988739.19,96610380.63,0.52,0.61,0.45,25,16,296,1.2,1.3,28.2,30.7,-15.2,Very Low
Broker 284,Broker,Basic,Emerging Partner,Excellent,17,0,17,17,2468219827.1400003,2468219827.1400003,0.0,0.0,100.0,100.0,145189401.6,145189401.6,0.0,145189401.6,0.51,0.65,0.55,26,15,317,1.2,1.3,30.0,32.5,-21.6,Medium
Broker 300,Broker,Basic,Emerging Partner,Excellent,13,0,13,13,2459061094.91,2459061094.91,0.0,0.0,100.0,100.0,189158545.76,189158545.76,0.0,189158545.76,0.5,0.49,0.55,27,19,213,1.2,1.0,30.0,32.2,2.2,High
Broker 134,Broker,Basic,Emerging Partner,Medium Risk,12,2,10,14,2392350765.6,2104130356.51,-288220409.09,16.67,85.71,85.71,239235076.56,175344196.38,-144110204.54,170882197.54,0.49,0.38,0.47,28,22,118,1.1,0.8,28.7,30.6,29.3,Medium
Broker 273,Broker,Basic,Emerging Partner,Excellent,1,0,1,1,2377197014.0,2377197014.0,0.0,0.0,100.0,100.0,2377197014.0,2377197014.0,0.0,2377197014.0,0.49,0.04,0.53,29,31,1,1.1,0.1,30.0,31.2,1184.4,High
Broker 78,Broker,Basic,Emerging Partner,High Risk,18,6,12,24,2374614784.8999996,2297762499.91,-76852284.99000001,33.33,75.0,75.0,197884565.41,127653472.22,-12808714.17,98942282.7,0.49,0.46,0.51,30,20,184,1.1,0.9,27.5,29.5,6.9,Low
Broker 64,Broker,Basic,Emerging Partner,Excellent,13,1,12,14,2353184097.63,2024599907.5300002,-328584190.1,7.69,92.86,92.86,196098674.8,155738454.43,-328584190.1,168084578.4,0.48,0.46,0.45,31,20,188,1.1,0.9,29.4,31.4,6.0,High
Broker 167,Broker,Basic,Emerging Partner,Low Risk,11,1,10,12,2294934008.11,1990843367.1100001,-304090641.0,9.09,91.67,91.67,229493400.81,180985760.65,-304090641.0,191244500.68,0.47,0.38,0.44,32,22,134,1.1,0.8,29.3,31.2,24.0,High
Broker 43,Broker,Basic,Emerging Partner,Excellent,19,0,19,19,2289712131.6600003,2289712131.6600003,0.0,0.0,100.0,100.0,120511164.82,120511164.82,0.0,120511164.82,0.47,0.72,0.51,33,13,368,1.1,1.5,30.0,32.6,-34.9,Medium
Broker 126,Broker,Basic,Emerging Partner,Excellent,17,1,16,18,2178206481.2500005,1882301184.9500003,-295905296.3,5.88,94.44,94.44,136137905.08,110723599.11,-295905296.3,121011471.18,0.45,0.61,0.42,34,16,333,1.0,1.3,29.6,31.9,-26.4,Medium
Broker 13,Broker,Basic,Emerging Partner,Medium Risk,13,2,11,15,2125432180.8200002,1908350096.1200001,-217082084.7,15.38,86.67,86.67,193221107.35,146796161.24,-108541042.35,141695478.72,0.44,0.42,0.43,35,21,195,1.0,0.9,28.8,30.7,4.4,Medium
Broker 17,Broker,Basic,Emerging Partner,Low Risk,15,2,13,17,2104878286.4199998,1873276631.08,-231601655.33999997,13.33,88.24,88.24,161913714.34,124885108.74,-115800827.67,123816369.79,0.43,0.49,0.42,36,19,282,1.0,1.0,29.0,31.0,-12.5,Low
Broker 172,Broker,Basic,Emerging Partner,Excellent,38,0,38,38,2072107835.29,2072107835.29,0.0,0.0,100.0,100.0,54529153.56,54529153.56,0.0,54529153.56,0.43,1.44,0.46,37,7,520,1.0,3.0,30.0,34.0,-70.5,Medium
Broker 19,Broker,Basic,Emerging Partner,Excellent,12,0,12,12,1964349755.74,1964349755.74,0.0,0.0,100.0,100.0,163695812.98,163695812.98,0.0,163695812.98,0.4,0.46,0.44,38,20,278,0.9,0.9,30.0,31.8,-11.6,Medium
Broker 5,Broker,Basic,Emerging Partner,Low Risk,21,3,18,24,1916966477.14,1720446739.93,-196519737.21,14.29,87.5,87.5,106498137.62,81926035.23,-65506579.07,79873603.21,0.39,0.68,0.38,39,14,390,0.9,1.4,28.9,31.2,-42.5,Low
Broker 332,Broker,Basic,Emerging Partner,Low Risk,11,1,10,12,1878910135.2800002,1707316188.7800002,-171593946.5,9.09,91.67,91.67,187891013.53,155210562.62,-171593946.5,156575844.61,0.39,0.38,0.38,40,22,216,0.9,0.8,29.3,31.0,1.5,High
Broker 374,Broker,Basic,Emerging Partner,Excellent,9,0,9,9,1865334387.26,1865334387.26,0.0,0.0,100.0,100.0,207259376.36,207259376.36,0.0,207259376.36,0.38,0.34,0.42,41,23,163,0.9,0.7,30.0,31.6,12.0,High
Broker 368,Broker,Basic,Emerging Partner,Excellent,11,0,11,11,1829002193.7900002,1829002193.7900002,0.0,0.0,100.0,100.0,166272926.71,166272926.71,0.0,166272926.71,0.38,0.42,0.41,42,21,270,0.9,0.9,30.0,31.8,-10.2,Medium
Broker 177,Broker,Basic,Emerging Partner,Low Risk,11,1,10,12,1814856252.84,1762155882.53,-52700370.31,9.09,91.67,91.67,181485625.28,160195989.32,-52700370.31,151238021.07,0.37,0.38,0.39,43,22,237,0.9,0.8,29.3,31.0,-1.9,Medium
Broker 270,Broker,Basic,Emerging Partner,Excellent,4,0,4,4,1802671627.2,1802671627.2,0.0,0.0,100.0,100.0,450667906.8,450667906.8,0.0,450667906.8,0.37,0.15,0.4,44,28,22,0.8,0.3,30.0,31.1,143.5,High
Broker 68,Broker,Basic,Emerging Partner,Excellent,9,0,9,9,1757620465.88,1757620465.88,0.0,0.0,100.0,100.0,195291162.88,195291162.88,0.0,195291162.88,0.36,0.34,0.39,45,23,190,0.8,0.7,30.0,31.5,5.5,High
Broker 103,Broker,Basic,Emerging Partner,High Risk,7,10,-3,17,1741554075.36,658169614.26,-1083384461.1,142.86,41.18,41.18,0.0,94024230.61,-108338446.11,102444357.37,0.36,-0.11,0.15,46,35,619,0.8,-0.2,19.3,19.9,-100.0,Very Low
Broker 66,Broker,Basic,Emerging Partner,High Risk,7,2,5,9,1733213218.4000003,1477255731.5100002,-255957486.89000002,28.57,77.78,77.78,346642643.68,211036533.07,-127978743.45,192579246.49,0.36,0.19,0.33,47,27,39,0.8,0.4,27.9,29.1,87.3,Medium
Broker 274,Broker,Basic,Emerging Partner,Excellent,1,0,1,1,1727057448.0,1727057448.0,0.0,0.0,100.0,100.0,1727057448.0,1727057448.0,0.0,1727057448.0,0.35,0.04,0.39,48,31,2,0.8,0.1,30.0,30.9,833.1,High
Broker 69,Broker,Basic,Emerging Partner,Excellent,9,0,9,9,1698003329.83,1698003329.83,0.0,0.0,100.0,100.0,188667036.65,188667036.65,0.0,188667036.65,0.35,0.34,0.38,49,23,214,0.8,0.7,30.0,31.5,1.9,High
Broker 207,Broker,Basic,Emerging Partner,Excellent,12,0,12,12,1689579791.9499998,1689579791.9499998,0.0,0.0,100.0,100.0,140798316.0,140798316.0,0.0,140798316.0,0.35,0.46,0.38,50,20,327,0.8,0.9,30.0,31.7,-23.9,Medium
Broker 241,Broker,Basic,Emerging Partner,Low Risk,7,1,6,8,1681292437.77,1567800136.47,-113492301.3,14.29,87.5,87.5,280215406.3,223971448.07,-113492301.3,210161554.72,0.34,0.23,0.35,51,26,67,0.8,0.5,28.9,30.2,51.4,High
Broker 139,Broker,Basic,Emerging Partner,Excellent,9,0,9,9,1680178035.37,1680178035.37,0.0,0.0,100.0,100.0,186686448.37,186686448.37,0.0,186686448.37,0.34,0.34,0.38,52,23,222,0.8,0.7,30.0,31.5,0.9,High
Broker 26,Broker,Basic,Emerging Partner,Excellent,9,0,9,9,1646712161.11,1646712161.11,0.0,0.0,100.0,100.0,182968017.9,182968017.9,0.0,182968017.9,0.34,0.34,0.37,53,23,234,0.8,0.7,30.0,31.5,-1.1,Medium
Broker 110,Broker,Basic,Emerging Partner,Medium Risk,10,2,8,12,1646349610.69,1237178268.09,-409171342.6,20.0,83.33,83.33,205793701.34,123717826.81,-204585671.3,137195800.89,0.34,0.3,0.28,54,24,170,0.8,0.6,28.5,29.9,11.2,Low
Broker 454,Broker,Basic,Emerging Partner,Excellent,8,0,8,8,1644728485.6,1644728485.6,0.0,0.0,100.0,100.0,205591060.7,205591060.7,0.0,205591060.7,0.34,0.3,0.37,55,24,173,0.8,0.6,30.0,31.4,11.1,High
Broker 515,Broker,Basic,Emerging Partner,Excellent,6,0,6,6,1627062507.6999998,1627062507.6999998,0.0,0.0,100.0,100.0,271177084.62,271177084.62,0.0,271177084.62,0.33,0.23,0.36,56,26,73,0.8,0.5,30.0,31.3,46.5,High
Broker 161,Broker,Basic,Emerging Partner,Low Risk,8,1,7,9,1601084678.28,1391038511.58,-210046166.7,12.5,88.89,88.89,228726382.61,173879813.95,-210046166.7,177898297.59,0.33,0.27,0.31,57,25,137,0.8,0.6,29.1,30.5,23.6,High
Broker 114,Broker,Basic,Emerging Partner,Excellent,20,1,19,21,1578697685.5800004,1496847720.1800003,-81849965.4,5.0,95.24,95.24,83089351.87,74842386.01,-81849965.4,75176080.27,0.32,0.72,0.33,58,13,436,0.7,1.5,29.6,31.8,-55.1,Medium
Broker 330,Broker,Basic,Emerging Partner,High Risk,12,5,7,17,1562666299.6200001,1376263115.64,-186403183.98000002,41.67,70.59,70.59,223238042.8,114688592.97,-37280636.8,91921547.04,0.32,0.27,0.31,59,25,147,0.7,0.6,26.9,28.2,20.6,Medium
Broker 62,Broker,Basic,Emerging Partner,Excellent,9,0,9,9,1530028480.0,1530028480.0,0.0,0.0,100.0,100.0,170003164.44,170003164.44,0.0,170003164.44,0.31,0.34,0.34,60,23,260,0.7,0.7,30.0,31.4,-8.1,Medium
Broker 435,Broker,Basic,Emerging Partner,Excellent,6,0,6,6,1525036458.6999998,1525036458.6999998,0.0,0.0,100.0,100.0,254172743.12,254172743.12,0.0,254172743.12,0.31,0.23,0.34,61,26,96,0.7,0.5,30.0,31.2,37.3,High
Broker 498,Broker,Basic,Emerging Partner,High Risk,6,2,4,8,1524758455.81,1285768916.51,-238989539.3,33.33,75.0,75.0,381189613.95,214294819.42,-119494769.65,190594806.98,0.31,0.15,0.29,62,28,34,0.7,0.3,27.5,28.5,106.0,Medium
Broker 257,Broker,Basic,Emerging Partner,Excellent,8,0,8,8,1516572565.26,1516572565.26,0.0,0.0,100.0,100.0,189571570.66,189571570.66,0.0,189571570.66,0.31,0.3,0.34,63,24,212,0.7,0.6,30.0,31.3,2.4,High
Broker 303,Broker,Basic,Emerging Partner,Excellent,10,0,10,10,1508870597.04,1508870597.04,0.0,0.0,100.0,100.0,150887059.7,150887059.7,0.0,150887059.7,0.31,0.38,0.34,64,22,309,0.7,0.8,30.0,31.5,-18.5,Medium
Broker 80,Broker,Basic,Emerging Partner,Low Risk,9,1,8,10,1498198900.23,1378218878.93,-119980021.3,11.11,90.0,90.0,187274862.53,153135430.99,-119980021.3,149819890.02,0.31,0.3,0.31,65,24,219,0.7,0.6,29.2,30.5,1.2,Medium
Broker 438,Broker,Basic,Emerging Partner,Excellent,7,0,7,7,1467194453.3,1467194453.3,0.0,0.0,100.0,100.0,209599207.61,209599207.61,0.0,209599207.61,0.3,0.27,0.33,66,25,161,0.7,0.6,30.0,31.3,13.2,High
Broker 304,Broker,Basic,Emerging Partner,Excellent,7,0,7,7,1465596744.6299999,1465596744.6299999,0.0,0.0,100.0,100.0,209370963.52,209370963.52,0.0,209370963.52,0.3,0.27,0.33,67,25,162,0.7,0.6,30.0,31.3,13.1,High
Broker 414,Broker,Basic,Emerging Partner,Excellent,7,0,7,7,1441718969.6,1441718969.6,0.0,0.0,100.0,100.0,205959852.8,205959852.8,0.0,205959852.8,0.3,0.27,0.32,68,25,168,0.7,0.6,30.0,31.3,11.3,High
Broker 269,Broker,Basic,Emerging Partner,Excellent,5,0,5,5,1430871022.9,1430871022.9,0.0,0.0,100.0,100.0,286174204.58,286174204.58,0.0,286174204.58,0.29,0.19,0.32,69,27,58,0.7,0.4,30.0,31.1,54.6,High
Broker 169,Broker,Basic,Emerging Partner,Excellent,8,0,8,8,1430828193.58,1430828193.58,0.0,0.0,100.0,100.0,178853524.2,178853524.2,0.0,178853524.2,0.29,0.3,0.32,70,24,242,0.7,0.6,30.0,31.3,-3.4,Medium
Broker 301,Broker,Basic,Emerging Partner,Excellent,14,0,14,14,1424759369.13,1424759369.13,0.0,0.0,100.0,100.0,101768526.37,101768526.37,0.0,101768526.37,0.29,0.53,0.32,71,18,405,0.7,1.1,30.0,31.8,-45.0,Medium
Broker 141,Broker,Basic,Emerging Partner,Excellent,6,0,6,6,1401548286.4,1401548286.4,0.0,0.0,100.0,100.0,233591381.07,233591381.07,0.0,233591381.07,0.29,0.23,0.31,72,26,124,0.7,0.5,30.0,31.2,26.2,High
Broker 9,Broker,Basic,Emerging Partner,Medium Risk,6,1,5,7,1357061797.22,1201425992.52,-155635804.7,16.67,85.71,85.71,271412359.44,200237665.42,-155635804.7,193865971.03,0.28,0.19,0.27,73,27,72,0.6,0.4,28.7,29.7,46.6,Medium
Broker 215,Broker,Basic,Emerging Partner,Excellent,8,0,8,8,1352284916.56,1352284916.56,0.0,0.0,100.0,100.0,169035614.57,169035614.57,0.0,169035614.57,0.28,0.3,0.3,74,24,263,0.6,0.6,30.0,31.2,-8.7,Medium
Broker 195,Broker,Basic,Emerging Partner,Excellent,8,0,8,8,1345345376.33,1345345376.33,0.0,0.0,100.0,100.0,168168172.04,168168172.04,0.0,168168172.04,0.28,0.3,0.3,75,24,264,0.6,0.6,30.0,31.2,-9.1,Medium
Broker 477,Broker,Basic,Emerging Partner,Excellent,6,0,6,6,1322718732.8000002,1322718732.8000002,0.0,0.0,100.0,100.0,220453122.13,220453122.13,0.0,220453122.13,0.27,0.23,0.3,76,26,150,0.6,0.5,30.0,31.1,19.1,High
Broker 94,Broker,Basic,Emerging Partner,Excellent,7,0,7,7,1289032495.06,1289032495.06,0.0,0.0,100.0,100.0,184147499.29,184147499.29,0.0,184147499.29,0.26,0.27,0.29,77,25,228,0.6,0.6,30.0,31.2,-0.5,Medium
Broker 12,Broker,Basic,Emerging Partner,Low Risk,9,1,8,10,1288520936.02,1257906025.87,-30614910.15,11.11,90.0,90.0,161065117.0,139767336.21,-30614910.15,128852093.6,0.26,0.3,0.28,78,24,286,0.6,0.6,29.2,30.4,-13.0,Low
Broker 287,Broker,Basic,Emerging Partner,Excellent,9,0,9,9,1269833682.08,1269833682.08,0.0,0.0,100.0,100.0,141092631.34,141092631.34,0.0,141092631.34,0.26,0.34,0.28,79,23,325,0.6,0.7,30.0,31.3,-23.8,Medium
Broker 135,Broker,Basic,Emerging Partner,Excellent,6,0,6,6,1235534188.3,1235534188.3,0.0,0.0,100.0,100.0,205922364.72,205922364.72,0.0,205922364.72,0.25,0.23,0.28,80,26,169,0.6,0.5,30.0,31.1,11.3,High
Broker 417,Broker,Basic,Emerging Partner,Excellent,8,0,8,8,1233451521.28,1233451521.28,0.0,0.0,100.0,100.0,154181440.16,154181440.16,0.0,154181440.16,0.25,0.3,0.28,81,24,304,0.6,0.6,30.0,31.2,-16.7,Medium
Broker 483,Broker,Basic,Emerging Partner,Excellent,6,0,6,6,1191974611.5700002,1191974611.5700002,0.0,0.0,100.0,100.0,198662435.26,198662435.26,0.0,198662435.26,0.24,0.23,0.27,82,26,180,0.6,0.5,30.0,31.1,7.3,High
Broker 243,Broker,Basic,Emerging Partner,Excellent,5,0,5,5,1175063386.29,1175063386.29,0.0,0.0,100.0,100.0,235012677.26,235012677.26,0.0,235012677.26,0.24,0.19,0.26,83,27,122,0.6,0.4,30.0,31.0,27.0,High
Broker 379,Broker,Basic,Emerging Partner,Excellent,10,0,10,10,1170764295.4599998,1170764295.4599998,0.0,0.0,100.0,100.0,117076429.55,117076429.55,0.0,117076429.55,0.24,0.38,0.26,84,22,373,0.5,0.8,30.0,31.3,-36.7,Medium
Broker 28,Broker,Basic,Emerging Partner,High Risk,8,6,2,14,1162319710.78,811278227.78,-351041483.0,75.0,57.14,57.14,581159855.39,101409778.47,-58506913.83,83022836.48,0.24,0.08,0.18,85,30,14,0.5,0.2,24.4,25.1,214.0,Medium
Broker 146,Broker,Basic,Emerging Partner,Low Risk,9,1,8,10,1145280338.45,1096825536.93,-48454801.52,11.11,90.0,90.0,143160042.31,121869504.1,-48454801.52,114528033.84,0.23,0.3,0.25,86,24,322,0.5,0.6,29.2,30.3,-22.7,Low
Broker 315,Broker,Basic,Emerging Partner,Excellent,6,0,6,6,1124950194.18,1124950194.18,0.0,0.0,100.0,100.0,187491699.03,187491699.03,0.0,187491699.03,0.23,0.23,0.25,87,26,217,0.5,0.5,30.0,31.0,1.3,High
Broker 53,Broker,Basic,Emerging Partner,Excellent,7,0,7,7,1101073957.98,1101073957.98,0.0,0.0,100.0,100.0,157296279.71,157296279.71,0.0,157296279.71,0.23,0.27,0.25,88,25,293,0.5,0.6,30.0,31.1,-15.0,Medium
Broker 561,Broker,Basic,Emerging Partner,High Risk,3,1,2,4,1098958614.1,774778380.3,-324180233.8,33.33,75.0,75.0,549479307.05,258259460.1,-324180233.8,274739653.52,0.23,0.08,0.17,89,30,15,0.5,0.2,27.5,28.2,196.9,Medium
Broker 463,Broker,Basic,Emerging Partner,Excellent,5,0,5,5,1096189520.0,1096189520.0,0.0,0.0,100.0,100.0,219237904.0,219237904.0,0.0,219237904.0,0.22,0.19,0.24,90,27,151,0.5,0.4,30.0,30.9,18.5,High
Broker 164,Broker,Basic,Emerging Partner,Excellent,9,0,9,9,1090721064.28,1090721064.28,0.0,0.0,100.0,100.0,121191229.36,121191229.36,0.0,121191229.36,0.22,0.34,0.24,91,23,366,0.5,0.7,30.0,31.2,-34.5,Medium
Broker 376,Broker,Basic,Emerging Partner,Excellent,8,0,8,8,1089503426.62,1089503426.62,0.0,0.0,100.0,100.0,136187928.33,136187928.33,0.0,136187928.33,0.22,0.3,0.24,92,24,332,0.5,0.6,30.0,31.1,-26.4,Medium
Broker 327,Broker,Basic,Emerging Partner,Excellent,7,0,7,7,1089031923.61,1089031923.61,0.0,0.0,100.0,100.0,155575989.09,155575989.09,0.0,155575989.09,0.22,0.27,0.24,93,25,301,0.5,0.6,30.0,31.1,-15.9,Medium
Broker 93,Broker,Basic,Emerging Partner,Excellent,6,0,6,6,1084527562.54,1084527562.54,0.0,0.0,100.0,100.0,180754593.76,180754593.76,0.0,180754593.76,0.22,0.23,0.24,94,26,239,0.5,0.5,30.0,31.0,-2.3,Medium
Broker 369,Broker,Basic,Emerging Partner,Low Risk,7,1,6,8,1083284802.07,902898946.67,-180385855.4,14.29,87.5,87.5,180547467.01,128985563.81,-180385855.4,135410600.26,0.22,0.23,0.2,95,26,240,0.5,0.5,28.9,29.9,-2.5,Low
Broker 264,Broker,Basic,Emerging Partner,Excellent,6,0,6,6,1075863137.5,1075863137.5,0.0,0.0,100.0,100.0,179310522.92,179310522.92,0.0,179310522.92,0.22,0.23,0.24,96,26,241,0.5,0.5,30.0,31.0,-3.1,Medium
Broker 226,Broker,Basic,Emerging Partner,Medium Risk,10,2,8,12,1074383773.04,944361778.02,-130021995.02000001,20.0,83.33,83.33,134297971.63,94436177.8,-65010997.51,89531981.09,0.22,0.3,0.21,97,24,340,0.5,0.6,28.5,29.6,-27.4,Very Low
Broker 289,Broker,Basic,Emerging Partner,Excellent,8,0,8,8,1066230917.29,1066230917.29,0.0,0.0,100.0,100.0,133278864.66,133278864.66,0.0,133278864.66,0.22,0.3,0.24,98,24,344,0.5,0.6,30.0,31.1,-28.0,Medium
Broker 244,Broker,Basic,Emerging Partner,Excellent,5,0,5,5,1020998198.0600001,1020998198.0600001,0.0,0.0,100.0,100.0,204199639.61,204199639.61,0.0,204199639.61,0.21,0.19,0.23,99,27,176,0.5,0.4,30.0,30.9,10.3,High
Broker 125,Broker,Basic,Emerging Partner,Low Risk,12,1,11,13,1008312077.97,923571829.21,-84740248.76,8.33,92.31,92.31,91664734.36,76964319.1,-84740248.76,77562467.54,0.21,0.42,0.21,100,21,420,0.5,0.9,29.4,30.8,-50.5,Medium
Broker 430,Broker,Basic,Emerging Partner,Excellent,6,0,6,6,998291303.4,998291303.4,0.0,0.0,100.0,100.0,166381883.9,166381883.9,0.0,166381883.9,0.2,0.23,0.22,101,26,269,0.5,0.5,30.0,31.0,-10.1,Medium
